rep,pop_init,crash_prop,tl,ts,ss,model,filename,minbin,breakpoints,loci,mutation_per_site,n_estimation,theta_per_site_median,theta_per_site_2.5.,theta_per_site_97.5.,year,Ne_median,Ne_2.5.,Ne_97.5.,Ne_12.5.,Ne_87.5.
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.519005733928849e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.519005733928849,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.519005733928849e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.519005733928849,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.526571219043367e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.526571219043367,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.526571219043367e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.526571219043367,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.545811812119986e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.545811812119986,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.545811812119986e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.545811812119986,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.659945584131303e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.659945584131303,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.659945584131303e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.659945584131303,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.669218641690772e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.6692186416907715,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.669218641690772e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.6692186416907715,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.714086211484137e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.714086211484137,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.714086211484137e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.714086211484137,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.838287804834094e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.838287804834094,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.838287804834094e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.838287804834094,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.907934546139696e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.907934546139696,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.907934546139696e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.907934546139696,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.933605032190461e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.933605032190461,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
1,200,0.5,100,200,20,stable,~/R/vcf.testing/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf,2,10,,7.933605032190461e-8,30,7.71624072265625e-6,5.90698876953125e-6,3.0502583984375e-5,7.933605032190461,192.90601806640626,147.67471923828126,762.564599609375,170.4454345703125,574.565673828125
